,x,y,school_name,number_vce_subjects,satisfactory_complete_vce_percent,median_study_score,study_score_over_40_percent,percentage_applying_to_victorian_uni
101,145.2376,-37.79975,norwood secondary college,48.0,98.0,28.0,3.9,49.0
102,145.44627,-36.07995,numurkah secondary college,27.0,88.0,22.0,7.186514522821577,50.0
103,144.36414,-38.23176,oberon high school,50.0,92.0,29.0,5.5,58.0
104,148.46635,-37.70411,orbost secondary college,23.0,94.0,27.0,3.4,69.0
105,142.32261,-35.06457,ouyen p college,22.0,82.0,33.0,21.4,55.0
106,145.471,-38.069,pakenham secondary college,34.0,96.0,29.0,1.9,57.0
107,145.0935,-37.9903,parkdale secondary college,77.0,99.0,29.0,4.7,56.0
108,144.99116,-37.85175,prahran high school,12.0,95.62891986062718,32.0,10.1,67.05434782608695
109,145.0064,-37.74169,preston high school,12.0,95.62891986062718,32.0,16.7,67.05434782608695
110,144.55753,-38.19066,bellarine secondary college,49.0,99.0,28.0,2.6,62.0
111,141.9967,-35.89447,rainbow p college,23.0,100.0,23.0,7.186514522821577,33.0
112,142.19545,-34.2988,red cliffs secondary college,30.0,90.0,22.0,7.186514522821577,48.0
113,145.23915,-37.81661,ringwood secondary college,76.0,94.0,30.0,7.3,69.0
114,145.0028,-37.81741,richmond high school,40.0,95.0,28.0,7.8,78.0
115,142.78155,-34.58889,robinvale college,23.0,92.0,22.0,7.186514522821577,33.0
116,144.6987,-36.35278,rochester secondary college,34.0,91.0,27.0,2.0,46.0
117,144.88745,-38.36762,rosebud secondary college,51.0,93.0,28.0,0.6,44.0
118,146.4521,-36.06256,rutherglen high school,25.0,94.0,24.0,7.186514522821577,17.0
119,145.2362,-37.88864,scoresby secondary college,24.0,90.0,27.0,1.4,48.0
120,144.80841,-37.74553,st albans secondary college,57.0,94.0,31.0,7.8,85.0
121,143.25094,-36.60955,st arnaud secondary college,27.0,100.0,28.0,2.4,62.0
122,145.03417,-37.87398,oakwood school,23.0,100.0,28.7569573283859,7.186514522821577,67.05434782608695
123,144.92664,-37.73695,strathmore secondary college,45.0,99.0,30.0,6.9,87.0
124,144.72867,-37.57428,sunbury college,50.0,97.0,27.0,1.3,50.0
125,144.96188,-37.76969,sydney road community school,17.0,91.0,28.7569573283859,7.186514522821577,27.0
126,147.17267,-36.22044,tallangatta secondary college,25.0,97.0,26.0,0.9,35.0
127,145.00194,-37.67872,thomastown secondary college,31.0,91.0,25.0,1.0,68.0
128,146.1583,-38.21457,trafalgar high school,39.0,100.0,27.0,7.0,58.0
129,144.95538,-37.79698,university high school,61.0,97.0,31.0,13.6,91.0
130,144.93033,-37.63041,roxburgh college,36.0,95.0,24.0,2.5,74.0
131,145.62393,-37.79209,upper yarra secondary college,48.0,85.0,25.0,3.1,60.0
132,145.33548,-37.90436,upwey high school,50.0,96.0,27.0,1.5,56.0
133,145.1997,-37.84412,vermont secondary college,71.0,100.0,32.0,9.9,86.0
134,145.34741,-38.05369,kambrya college,69.0,95.0,31.0,6.0,64.0
135,146.30772,-36.3449,wangaratta high school,35.0,92.0,28.0,3.0,57.0
136,145.22997,-37.8576,wantirna college,70.0,98.0,29.0,3.8,58.0
137,145.18422,-37.74827,warrandyte high school,27.0,100.0,24.0,0.5,50.0
138,145.16938,-37.93447,wellington secondary college,65.0,97.0,28.0,4.7,77.0
139,144.66874,-37.90554,werribee secondary college,59.0,96.0,28.0,5.1,88.0
140,147.605,-37.82871,bairnsdale secondary college,48.0,99.0,26.0,0.8,38.0
141,145.13658,-37.94031,westall secondary college,41.0,95.0,27.0,2.9,63.0
142,144.89502,-37.86286,williamstown high school,74.0,97.0,32.0,12.0,72.0
143,146.68546,-38.56658,yarram secondary college,41.0,91.0,26.0,2.8,38.0
144,143.89228,-37.55912,woodmans hill secondary college,35.0,90.0,29.0,9.3,38.0
145,145.40854,-37.21501,yea high school,33.0,85.0,25.0,7.186514522821577,32.0
146,145.03801,-37.8857,glen eira college,55.0,99.0,32.0,9.1,92.0
147,144.93595,-37.60875,craigieburn secondary college,33.0,95.0,21.0,0.2,68.0
148,145.45874,-37.92427,emerald secondary college,38.0,96.0,28.0,1.5,42.0
149,145.02977,-37.72226,reservoir high school,45.0,91.0,26.0,1.1,55.0
150,146.43279,-38.22879,kurnai college,56.0,95.0,26.0,2.7,49.0
151,144.58596,-37.67291,kurunjang secondary college,31.0,98.0,25.0,1.7,61.0
152,145.19018,-38.15929,elisabeth murdoch college,93.0,98.0,31.0,6.3,39.0
153,145.16373,-37.84852,forest hill college,40.0,84.0,27.0,3.7,95.0
154,145.13991,-37.68687,st helena secondary college,50.0,92.0,29.0,6.0,68.0
155,142.78979,-37.06195,stawell secondary college,30.0,100.0,23.0,7.186514522821577,42.0
156,145.23709,-37.92389,rowville secondary college,66.0,94.0,26.0,1.6,41.0
157,145.59788,-38.61094,bass coast college,56.0,98.0,28.0,3.0,57.0
158,145.02303,-37.95671,sandringham college,57.0,95.0,30.0,7.3,70.0
159,144.98748,-37.78491,fitzroy high school,51.0,98.0,27.0,5.3,69.0
160,145.10333,-37.86453,ashwood high school,41.0,98.0,32.0,10.1,79.0
161,145.96124,-38.47869,leongatha secondary college,44.0,97.0,28.0,5.1,50.0
162,145.1674,-37.67283,diamond valley college,51.0,98.0,26.0,1.8,56.0
163,142.92196,-37.286,ararat secondary college,23.0,94.0,27.0,7.186514522821577,39.0
164,145.06341,-37.66416,mill park secondary college,59.0,97.0,26.0,1.9,76.0
165,144.43306,-37.68563,bacchus marsh college,53.0,93.0,25.0,0.4,53.0
166,144.67494,-37.85813,the grange p college,37.0,94.0,25.0,1.7,60.0
167,144.81382,-37.79316,sunshine college,44.0,98.0,25.0,1.0,70.0
168,144.98147,-37.41839,wallan secondary college,39.0,92.0,21.0,1.8,32.0
169,145.02521,-37.75649,thornbury high school,49.0,96.0,31.0,8.1,74.0
170,141.59482,-38.35882,portland secondary college,30.0,95.0,27.0,3.0,44.0
171,144.77243,-37.71946,copperfield college,76.0,94.0,27.0,2.7,56.0
172,144.88521,-37.8577,bayside p college,49.0,96.0,28.0,2.0,54.0
173,143.55285,-35.33523,swan hill college,32.0,96.0,28.0,3.5,47.0
174,146.51949,-38.19142,traralgon college,35.0,95.0,25.0,0.5,35.0
175,145.05776,-38.21671,mornington secondary college,56.0,91.0,27.0,2.1,47.0
176,144.86971,-37.73971,essendon keilor college,47.0,94.0,25.0,1.8,67.0
177,144.95501,-37.7709,brunswick secondary college,56.0,96.0,31.0,8.5,82.0
178,145.14772,-38.12612,monterey secondary college,23.0,96.0,25.0,7.186514522821577,22.0
179,142.49968,-38.37672,warrnambool college,57.0,96.0,28.0,2.2,50.0
180,145.08659,-37.7412,viewbank college,57.0,97.0,31.0,8.1,75.0
181,145.18237,-37.97021,noble park secondary college,35.0,92.0,25.0,1.8,73.0
182,142.01463,-37.73331,baimbridge college,28.0,96.0,24.0,7.186514522821577,52.0
